task,model,split,class_or_average,status,precision,recall,f1-score,support
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,combination,ok,0.984375,0.9692307692307692,0.9767441860465116,65.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,pro_resolution,ok,0.9722222222222222,1.0,0.9859154929577465,35.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,macro avg,ok,0.9513194444444444,0.9890842490842491,0.9679000750244124,150.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,weighted avg,ok,0.9814143518518519,0.98,0.9802996387047626,150.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,anti_cytokine,ok,0.25,0.07142857142857142,0.1111111111111111,14.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,anti_exhaustion,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,barrier_modulation,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,combination,ok,0.5384615384615384,0.6363636363636364,0.5833333333333334,22.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,pro_resolution,ok,0.0,0.0,0.0,12.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,macro avg,ok,0.1576923076923077,0.14155844155844155,0.1388888888888889,50.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,weighted avg,ok,0.3069230769230769,0.3,0.2877777777777778,50.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,train,anti_cytokine,ok,0.7560975609756098,0.7380952380952381,0.7469879518072289,42.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,train,anti_exhaustion,ok,0.6666666666666666,1.0,0.8,4.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,train,barrier_modulation,ok,0.4444444444444444,1.0,0.6153846153846154,4.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,train,combination,ok,0.8928571428571429,0.7692307692307693,0.8264462809917356,65.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,train,pro_resolution,ok,0.7631578947368421,0.8285714285714286,0.7945205479452054,35.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,train,macro avg,ok,0.7046447419361412,0.8671794871794871,0.7566678792257571,150.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,train,weighted avg,ok,0.8063118840461588,0.7866666666666666,0.7904150658665806,150.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,test,anti_cytokine,ok,0.30303030303030304,0.7142857142857143,0.425531914893617,14.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,test,anti_exhaustion,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,test,barrier_modulation,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,test,combination,ok,0.8,0.18181818181818182,0.2962962962962963,22.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,test,pro_resolution,ok,0.2,0.08333333333333333,0.11764705882352941,12.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,test,macro avg,ok,0.2606060606060606,0.1958874458874459,0.16789505400268853,50.0
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,test,weighted avg,ok,0.48484848484848486,0.3,0.2777546006582302,50.0
