feature,importance
rna_MACROPHAGE_gene02_logCPM,0.00022251941983445522
bulk_HYPOXIA_mean,0.00022112960058667228
bulk_MYELOID_SUPPRESSION_mean,0.00021983996298843776
rna_NK_CELL_gene05_logCPM,0.00021913361846471717
bulk_T_CELL_CYTOTOXIC_std,0.00021774243421158958
rna_TREG_gene02_logCPM,0.00021350358654604698
mech_total_cells_q25,0.00021232000976720294
spatial_inflam_damage_hotspot_distance,0.00021016890343533492
spatial_MACROPHAGE_moran_proxy,0.0002094220060848589
bulk_EMT_FIBROSIS_q90,0.00020736320547905357
rna_NK_CELL_gene06_logCPM,0.00020692053682771133
bulk_MYELOID_SUPPRESSION_std,0.0002059664740600301
spatial_M2_REPAIR_CD163_MRC1_IL10_moran_proxy,0.0002048082001525792
rna_CYTOTOXICITY_GZMB_PRF1_NKG7_spatial_var_proxy,0.00020323183495367356
rna_TNF_NFKB_spatial_var_proxy,0.00020175969561001255
spatial_TNF_NFKB_moran_proxy,0.00019891615281799913
rna_ECM_STROMAL_BARRIER_gene04_logCPM,0.0001984219440994335
rna_IFNG_RESPONSE_gene05_logCPM,0.0001972285732080015
rna_CYTOTOXICITY_GZMB_PRF1_NKG7_gene04_logCPM,0.00019556322257444122
spatial_IL6_JAK_STAT3_moran_proxy,0.0001947963647421066
rna_EXHAUSTION_PD1_LAG3_TIM3_gene02_logCPM,0.00018957393637632062
spatial_ECM_STROMAL_BARRIER_q95,0.00018690564227687168
spatial_EXHAUSTION_PD1_LAG3_TIM3_q95,0.0001862258720209861
rna_TREG_FOXP3_IL2RA_CTLA4_gene05_logCPM,0.00018593683559472733
rna_HYPOXIA_gene06_logCPM,0.00018494463046835117
rna_M2_REPAIR_CD163_MRC1_IL10_gene04_logCPM,0.0001806342960695065
rna_WOUND_HEALING_gene02_logCPM,0.00017914260272942358
rna_IFNG_RESPONSE_gene01_logCPM,0.00017754489301706274
mech_treg_IFNG_response_mean_auc,0.00017729854904656808
rna_APOPTOSIS_gene01_logCPM,0.00017687734329127297
bulk_MACROPHAGE_std,0.00017650378232238325
rna_APOPTOSIS_module_mean_logCPM,0.00017227162966016848
spatial_HYPOXIA_moran_proxy,0.00017170021162033692
spatial_TGFB_SIGNALING_var,0.00017050716319808593
mech_count_macrophage_max,0.00017033187489703234
rna_MYELOID_SUPPRESSION_gene01_logCPM,0.00017018897980594432
rna_MYELOID_SUPPRESSION_module_mean_logCPM,0.00016973280142978822
spatial_M2_REPAIR_CD163_MRC1_IL10_q95,0.0001687476575542327
rna_APOPTOSIS_gene03_logCPM,0.000165922516857481
rna_TGFB_SIGNALING_gene05_logCPM,0.00016576030881691183
rna_T_CELL_CYTOTOXIC_gene04_logCPM,0.000163780111489204
bulk_TREG_std,0.00016371223069661754
