task,model,split,class_or_average,status,precision,recall,f1-score,support
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,train,macro avg,ok,1.0,1.0,1.0,150.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,train,weighted avg,ok,1.0,1.0,1.0,150.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,test,acute_resolving,ok,1.0,1.0,1.0,10.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,test,chronic,ok,0.8333333333333334,1.0,0.9090909090909091,10.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,test,hyperinflammatory,ok,1.0,0.8,0.8888888888888888,10.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,test,immune_excluded,ok,1.0,0.9,0.9473684210526315,10.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,test,suppressed,ok,0.9090909090909091,1.0,0.9523809523809523,10.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,test,macro avg,ok,0.9484848484848485,0.9399999999999998,0.9395458342826764,50.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,test,weighted avg,ok,0.9484848484848485,0.94,0.9395458342826764,50.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,acute_resolving,ok,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,chronic,ok,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,hyperinflammatory,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,immune_excluded,ok,0.9310344827586207,0.9,0.9152542372881356,30.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,suppressed,ok,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,macro avg,ok,0.9535038932146829,0.9533333333333334,0.9532092247846624,150.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,weighted avg,ok,0.953503893214683,0.9533333333333334,0.9532092247846625,150.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,acute_resolving,ok,0.0,0.0,0.0,10.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,chronic,ok,0.1875,0.3,0.23076923076923078,10.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,hyperinflammatory,ok,0.5,0.4,0.4444444444444444,10.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,immune_excluded,ok,0.25,0.1,0.14285714285714285,10.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,suppressed,ok,0.3,0.6,0.4,10.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,macro avg,ok,0.2475,0.27999999999999997,0.24361416361416363,50.0
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,test,weighted avg,ok,0.2475,0.28,0.24361416361416363,50.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,train,acute_resolving,ok,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,train,chronic,ok,0.71875,0.7666666666666667,0.7419354838709677,30.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,train,hyperinflammatory,ok,0.7916666666666666,0.6333333333333333,0.7037037037037037,30.0
